Date,Rainfall_mm,Temp_Max_C,Temp_Min_C,District
1997-01-01,0.0,26.7,14.6,ANANTAPUR
1997-01-02,0.0,27.8,15.6,ANANTAPUR
1997-01-03,0.0,28.7,15.2,ANANTAPUR
1997-01-04,0.0,28.9,17.0,ANANTAPUR
1997-01-05,0.0,28.1,17.0,ANANTAPUR
1997-01-06,0.0,27.7,17.3,ANANTAPUR
1997-01-07,0.0,28.0,15.4,ANANTAPUR
1997-01-08,0.0,26.9,16.2,ANANTAPUR
1997-01-09,0.0,24.4,19.9,ANANTAPUR
1997-01-10,1.6,24.3,19.9,ANANTAPUR
1997-01-11,1.5,27.1,20.0,ANANTAPUR
1997-01-12,0.1,27.0,20.2,ANANTAPUR
1997-01-13,0.7,27.8,19.4,ANANTAPUR
1997-01-14,6.0,28.8,20.1,ANANTAPUR
1997-01-15,0.9,28.2,19.3,ANANTAPUR
1997-01-16,0.7,27.8,18.0,ANANTAPUR
1997-01-17,0.1,27.3,19.5,ANANTAPUR
1997-01-18,0.1,27.8,18.6,ANANTAPUR
1997-01-19,0.0,28.4,18.5,ANANTAPUR
1997-01-20,0.0,31.2,18.0,ANANTAPUR
1997-01-21,0.0,30.6,18.8,ANANTAPUR
1997-01-22,0.0,29.3,15.7,ANANTAPUR
1997-01-23,0.0,28.9,15.5,ANANTAPUR
1997-01-24,0.0,30.2,16.4,ANANTAPUR
1997-01-25,0.0,31.0,16.1,ANANTAPUR
1997-01-26,0.0,30.9,16.3,ANANTAPUR
1997-01-27,0.0,30.6,17.7,ANANTAPUR
1997-01-28,0.0,29.7,17.4,ANANTAPUR
1997-01-29,0.0,29.3,16.3,ANANTAPUR
1997-01-30,0.0,30.7,14.3,ANANTAPUR
1997-01-31,0.0,32.0,15.5,ANANTAPUR
1997-02-01,0.0,32.1,17.1,ANANTAPUR
1997-02-02,0.0,32.9,17.7,ANANTAPUR
1997-02-03,0.0,33.1,18.6,ANANTAPUR
1997-02-04,0.0,32.7,18.0,ANANTAPUR
1997-02-05,0.0,32.8,19.4,ANANTAPUR
1997-02-06,0.0,33.1,19.1,ANANTAPUR
1997-02-07,0.0,33.4,19.5,ANANTAPUR
1997-02-08,0.0,33.9,20.7,ANANTAPUR
1997-02-09,0.0,34.5,20.2,ANANTAPUR
1997-02-10,0.0,33.9,19.0,ANANTAPUR
1997-02-11,0.0,32.5,19.7,ANANTAPUR
1997-02-12,0.0,32.4,20.6,ANANTAPUR
1997-02-13,0.0,31.8,18.6,ANANTAPUR
1997-02-14,0.0,31.7,17.4,ANANTAPUR
1997-02-15,0.0,32.7,15.1,ANANTAPUR
1997-02-16,0.0,34.0,15.7,ANANTAPUR
1997-02-17,0.0,34.4,16.4,ANANTAPUR
1997-02-18,0.0,34.7,16.4,ANANTAPUR
1997-02-19,0.0,34.3,18.4,ANANTAPUR
1997-02-20,0.0,34.3,20.0,ANANTAPUR
1997-02-21,0.0,34.3,19.4,ANANTAPUR
1997-02-22,0.0,34.3,21.3,ANANTAPUR
1997-02-23,0.0,32.8,21.6,ANANTAPUR
1997-02-24,0.0,33.3,21.4,ANANTAPUR
1997-02-25,0.0,34.1,19.8,ANANTAPUR
1997-02-26,0.0,34.7,17.8,ANANTAPUR
1997-02-27,0.0,35.5,18.3,ANANTAPUR
1997-02-28,0.0,35.9,19.7,ANANTAPUR
1997-03-01,0.0,35.4,19.3,ANANTAPUR
1997-03-02,0.0,35.4,21.8,ANANTAPUR
1997-03-03,0.0,35.2,18.8,ANANTAPUR
1997-03-04,0.0,35.4,18.3,ANANTAPUR
1997-03-05,0.0,35.6,17.4,ANANTAPUR
1997-03-06,0.0,35.1,17.5,ANANTAPUR
1997-03-07,0.0,34.6,17.5,ANANTAPUR
1997-03-08,0.0,35.4,18.0,ANANTAPUR
1997-03-09,0.0,36.9,19.2,ANANTAPUR
1997-03-10,0.0,37.4,20.6,ANANTAPUR
1997-03-11,0.0,37.9,21.5,ANANTAPUR
1997-03-12,0.0,37.8,22.2,ANANTAPUR
